Link;Title;Data da Postagem
https://www.palmeiras.com.br/noticias/palmeiras-enfrenta-cruzeiro-em-belo-horizonte-na-primeira-final-do-brasileiro-sub-20/;Palmeiras enfrenta Cruzeiro em Belo Horizonte na primeira final do Brasileiro Sub-20;19/09/2024 17:40
https://www.palmeiras.com.br/noticias/raphael-veiga-comenta-marca-de-50-gols-no-allianz-parque-e-ve-palmeiras-no-caminho-certo/;Raphael Veiga comenta marca de 50 gols no Allianz Parque e vê Palmeiras no ‘caminho certo’;19/09/2024 12:48
https://www.palmeiras.com.br/noticias/novas-datas-disponiveis-para-academia-tour-desconto-para-socio-avanti/;Novas datas disponíveis para Academia Tour; desconto para sócio Avanti;18/09/2024 14:26
https://www.palmeiras.com.br/noticias/flaco-lopez-comemora-boa-fase-em-reapresentacao-do-elenco-muito-confiante/;Flaco López comemora boa fase em reapresentação do elenco: “Muito confiante”;18/09/2024 12:34
https://www.palmeiras.com.br/noticias/luiz-fernando-luis-pacheco-e-juan-gabriel-sao-convocados-para-disputa-do/;Trio do Verdão é convocado pela Seleção para disputa do Sul-Americano Sub-16;17/09/2024 19:50
https://www.palmeiras.com.br/noticias/verdao-empata-com-corinthians-na-fazendinha-pelas-quartas-do-paulista-sub-17/;Verdão empata com Corinthians na Fazendinha pelas quartas do Brasileiro Sub-17;17/09/2024 17:34
https://www.palmeiras.com.br/noticias/mesatenista-do-palmeiras-e-convocado-para-treinos-com-a-selecao-de-jovens-paralimpica/;Mesatenista do Palmeiras é convocado para treinos com a Seleção de Jovens Paralímpica;17/09/2024 14:26
https://www.palmeiras.com.br/noticias/palestrinas-garantem-medalhas-no-xi-torneio-nacional-de-ginastica-acrobatica/;Palestrinas garantem medalhas no XI Torneio Nacional de Ginástica Acrobática;16/09/2024 17:47
https://www.palmeiras.com.br/noticias/semana-da-torcida-palmeirense-ofertas-exclusivas-no-avanti-na-palmeirasstore-com-e-no-pay/;Semana da Torcida Palmeirense: ofertas exclusivas no Avanti, na PalmeirasStore.com e no Pay;16/09/2024 16:33
https://www.palmeiras.com.br/noticias/verdao-visita-corinthians-no-jogo-de-ida-das-quartas-do-brasileiro-sub-17/;Verdão visita Corinthians no jogo de ida das quartas do Brasileiro Sub-17;16/09/2024 14:33
https://www.palmeiras.com.br/noticias/palmeiras-goleia-criciuma-por-5-a-0-e-assume-vice-lideranca-do-brasileirao/;Palmeiras goleia Criciúma por 5 a 0 e assume vice-liderança do Brasileirão;15/09/2024 18:40
https://www.palmeiras.com.br/noticias/palmeiras-empata-com-xv-de-jau-e-tera-corinthians-nas-quartas-do-paulista-sub-20/;Palmeiras empata com XV de Jaú e terá Corinthians nas quartas do Paulista Sub-20;14/09/2024 17:03
https://www.palmeiras.com.br/noticias/palmeiras-x-criciuma-informacoes-estatisticas-e-curiosidades/;Palmeiras x Criciúma: informações, estatísticas e curiosidades;14/09/2024 14:11
https://www.palmeiras.com.br/noticias/sub-17-do-verdao-goleia-ibrachina-e-garante-vaga-nas-quartas-do-paulista/;Sub-17 do Verdão goleia Ibrachina e garante vaga nas quartas do Paulista;14/09/2024 12:52
https://www.palmeiras.com.br/noticias/treino-tatico-encerra-preparacao-para-duelo-com-criciuma/;Treino tático encerra preparação para duelo com Criciúma;14/09/2024 12:16
https://www.palmeiras.com.br/noticias/em-parceria-com-incor-palmeiras-promove-campanha-de-prevencao-a-doencas-cardiovasculares/;Em parceria com InCor, Palmeiras promove campanha de prevenção a doenças cardiovasculares;14/09/2024 11:01